Instance ID,Image File,Vertices,Medians,Center_diffs,CNC_movements
0,Standard_Image.jpg,"[[[161, 124], [169, 148], [190, 141], [181, 117]]]",[175.25 132.5 ],[15.25 12.5 ],[-0.7293533   0.73206677]
1,Standard_Image.jpg,"[[[151, 102], [156, 118], [170, 113], [165, 97]]]",[160.5 107.5],[  0.5 -12.5],[-0.02391322 -0.73206677]
2,Standard_Image.jpg,"[[[175, 95], [179, 107], [188, 104], [183, 92]]]",[181.25  99.5 ],[ 21.25 -20.5 ],[-1.01631197 -1.2005895 ]
